age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
18,retired,single,secondary,no,-650,yes,no,cellular,15,may,73,1,-1,0,failure,no
45,management,married,tertiary,no,2791,yes,no,cellular,5,jun,517,2,-1,0,unknown,no
50,technician,married,tertiary,no,-931,no,no,cellular,6,nov,242,5,-1,0,unknown,no
54,technician,married,secondary,no,-183,no,no,cellular,16,aug,397,2,-1,0,unknown,no
57,blue-collar,single,secondary,no,11847,yes,no,cellular,11,apr,831,1,-1,0,unknown,no
56,technician,single,tertiary,no,-921,no,yes,cellular,16,jun,64,2,-1,1,unknown,no
36,admin.,divorced,primary,no,-181,yes,no,cellular,5,mar,119,1,-1,0,success,no
34,blue-collar,married,tertiary,no,-745,yes,no,unknown,1,may,632,2,-1,0,unknown,no
19,services,divorced,primary,no,-185,no,no,unknown,16,jun,260,2,-1,0,unknown,no
49,management,divorced,tertiary,no,-11,no,yes,unknown,12,jun,13,1,0,0,unknown,no
43,technician,divorced,unknown,no,227,yes,no,telephone,17,may,226,2,-1,0,failure,no
52,management,divorced,unknown,no,-349,no,yes,cellular,27,jul,221,1,-1,0,other,no
27,blue-collar,married,tertiary,no,-541,yes,no,cellular,21,aug,64,5,-1,0,unknown,no
60,admin.,divorced,tertiary,no,2928,no,no,cellular,15,jul,52,2,-1,0,unknown,yes
60,technician,married,secondary,no,6109,yes,no,cellular,7,nov,1,1,3,0,other,no
18,blue-collar,married,primary,no,-454,yes,no,cellular,1,jul,214,5,-1,0,unknown,no
55,admin.,single,tertiary,yes,2867,yes,no,cellular,6,jul,1,2,342,0,unknown,no
26,technician,married,secondary,no,6062,no,no,cellular,16,oct,284,2,-1,0,unknown,yes
18,housemaid,married,secondary,no,-432,no,no,cellular,17,jun,408,2,-1,0,unknown,no
56,technician,single,primary,no,650,yes,no,cellular,17,jul,395,1,-1,2,unknown,no
57,management,married,primary,no,-444,yes,no,unknown,17,may,36,1,-1,0,unknown,no
26,blue-collar,single,tertiary,no,252,yes,no,cellular,8,jun,7,5,-1,0,unknown,no
49,blue-collar,married,primary,no,68,no,yes,cellular,4,may,309,1,-1,0,unknown,no
28,self-employed,divorced,unknown,no,700,no,no,telephone,10,feb,290,5,-1,0,unknown,no
29,management,divorced,tertiary,no,-286,yes,no,cellular,18,jul,391,2,-1,0,unknown,no
18,unemployed,divorced,secondary,no,-66,no,no,cellular,19,may,130,1,-1,0,unknown,no
54,management,married,tertiary,no,-244,yes,yes,cellular,2,may,1,4,120,0,unknown,no
56,management,married,secondary,no,-344,yes,no,cellular,21,may,1,2,-1,0,unknown,no
25,management,divorced,secondary,no,-387,yes,yes,unknown,19,aug,1,2,-1,0,unknown,no
59,technician,divorced,tertiary,yes,-148,yes,yes,cellular,20,may,393,1,-1,0,unknown,no
18,admin.,divorced,tertiary,no,3990,yes,no,telephone,10,jun,88,2,2,0,unknown,no
39,entrepreneur,married,secondary,no,4629,yes,no,cellular,25,jun,1,2,-1,0,unknown,no
32,services,single,secondary,no,-259,yes,no,unknown,11,sep,179,1,-1,0,unknown,no
22,management,married,tertiary,no,17292,no,no,cellular,12,jul,230,2,180,0,unknown,no
55,retired,married,secondary,no,-273,yes,no,cellular,21,may,53,4,0,0,unknown,no
41,admin.,single,secondary,no,139,yes,no,cellular,11,jul,1,1,1,0,unknown,no
43,technician,married,primary,no,-69,yes,no,cellular,15,may,59,1,-1,0,unknown,no
52,blue-collar,married,unknown,no,27696,no,no,cellular,1,may,1,4,1,0,unknown,no
45,management,single,tertiary,no,-140,yes,no,cellular,1,jul,1,2,-1,0,unknown,no
46,entrepreneur,single,tertiary,no,-639,no,no,cellular,18,jun,1,1,-1,0,success,yes
18,blue-collar,married,tertiary,no,-221,yes,no,cellular,20,jan,81,2,-1,0,unknown,no
41,management,married,primary,no,503,yes,no,unknown,13,jun,84,1,-1,0,unknown,no
56,management,single,secondary,no,169,yes,yes,cellular,8,may,262,3,-1,0,unknown,no
57,admin.,married,secondary,no,5017,yes,yes,cellular,30,jun,1,3,0,0,unknown,no
19,technician,married,secondary,no,106,yes,no,telephone,1,may,1,2,-1,0,unknown,no
39,management,single,secondary,no,-404,yes,no,cellular,16,dec,1,2,-1,0,unknown,yes
41,housemaid,married,unknown,no,68,no,no,telephone,17,jun,104,1,-1,1,unknown,no
48,management,married,primary,no,8279,no,no,unknown,12,may,1,2,2,0,failure,no
39,technician,married,tertiary,no,-1050,no,no,cellular,18,jul,109,2,-1,0,other,yes
40,blue-collar,married,tertiary,no,-328,no,no,cellular,5,nov,1,2,-1,0,unknown,no
58,management,married,tertiary,no,-596,yes,yes,cellular,7,may,1,1,1,0,unknown,no
47,unknown,single,secondary,no,195,no,yes,cellular,13,may,126,3,-1,0,unknown,no
33,blue-collar,divorced,primary,no,1555,yes,yes,unknown,16,may,292,3,-1,0,unknown,no
27,entrepreneur,married,secondary,no,442,no,no,cellular,2,aug,744,2,-1,0,failure,yes
19,admin.,divorced,secondary,no,89,no,no,cellular,14,nov,168,2,-1,0,unknown,no
49,blue-collar,divorced,tertiary,no,-41,no,yes,cellular,4,feb,132,1,-1,0,failure,yes
55,management,single,tertiary,no,442,yes,no,unknown,17,may,1,1,-1,0,unknown,no
51,blue-collar,divorced,secondary,no,417,yes,yes,cellular,22,aug,200,3,-1,0,unknown,no
43,technician,married,primary,no,265,no,no,unknown,29,jun,3,1,-1,0,unknown,no
53,unknown,single,tertiary,no,-128,yes,yes,cellular,13,may,270,1,-1,0,unknown,yes
58,blue-collar,married,tertiary,no,-406,no,no,cellular,1,may,370,2,-1,0,unknown,no
40,blue-collar,divorced,primary,no,294,yes,no,cellular,11,sep,1,1,-1,0,failure,no
38,management,married,unknown,no,2060,yes,yes,cellular,17,apr,369,2,-1,0,failure,no
19,services,married,tertiary,no,180,yes,no,unknown,17,may,33,2,-1,0,unknown,no
44,technician,married,tertiary,no,-444,no,yes,unknown,21,may,314,2,-1,0,unknown,yes
49,admin.,married,tertiary,no,-1050,yes,no,unknown,14,may,1,2,-1,0,unknown,no
50,technician,single,secondary,no,2214,yes,yes,unknown,7,may,1,2,6,0,unknown,no
38,management,married,tertiary,no,319,yes,yes,cellular,10,may,1,4,5,0,failure,yes
48,blue-collar,divorced,secondary,no,-388,yes,yes,cellular,2,may,73,2,-1,0,unknown,no
21,management,married,tertiary,no,-517,no,no,cellular,14,aug,91,2,-1,0,unknown,no
43,blue-collar,married,unknown,no,6470,no,no,unknown,9,aug,107,2,2,0,unknown,no
66,blue-collar,married,tertiary,no,14212,yes,yes,unknown,1,oct,1,3,5,0,unknown,no
